9MOD021,MODUL FAKT LITE,KOM,PDV17,0.00000000,200.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9MOD021,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9MOD022,MODUL LD LITE  (OBRAČUN PLATA DO 20 RAD),KOM,PDV17,0.00000000,590.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9MOD022,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9MOD1 ....,MREŽNE INSTALACIJE MODULA,,PDV17,0.00000000,0.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9MOD1 ....,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9FMK011,PROGRAMSKI PAKET KALK + FAKT,KOM,PDV17,0.00000000,1018.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9FMK011,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9FMK013,PROGRAMSKI PAKET FIN + KALK,KOM,PDV17,0.00000000,997.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9FMK013,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9MOD108,MODUL VIRM / MREŽNA INSTALACIJA,RS,PDV17,0.00000000,74.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9MOD108,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9MOD017,MODUL PROIZVODNJA / 1,KOM,PDV17,0.00000000,360.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9MOD017,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9MOD005,MODUL LD (OBRAČUN PLATA),KOM,PDV17,0.00000000,750.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9MOD005,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9MOD007,MODUL KAM (OBRAČUN KAMATA),KOM,PDV17,0.00000000,660.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9MOD007,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
9FMK012,PROGRAMSKI PAKET FIN+OS+LD,KOM,PDV17,0.00000000,1690.00000000,0.00000000,,0.00,sql streamline,0.00000000,0.00000000,0.00000000,,,0.00,0.00,0.00000000,0.00,,9FMK012,0.00000000,0.00000000,0.00000,0.00000,0.00000,0.00000,0.00000,
